"","ligand_cl","receptor_cl","lr_id","ligand_exp","receptor_exp","int_exp","id","ligand_symbol","receptor_symbol"
"44957","Neutrophils","Endo_2",54,0.548192771084337,0.126582278481013,0.126582278481013,"Neutrophils->Endo_2/54","Anxa1","Dysf"
"46668","Neutrophils","MoAM",56,0.548192771084337,0.10655737704918,0.10655737704918,"Neutrophils->MoAM/56","Anxa1","Fpr1"
"57334","Classical_monocytes","TRAM",69,0.527439024390244,0.168213457076566,0.168213457076566,"Classical_monocytes->TRAM/69","Apoe","Ldlr"
"57479","Classical_monocytes","Endo_1",69,0.527439024390244,0.119318181818182,0.119318181818182,"Classical_monocytes->Endo_1/69","Apoe","Ldlr"
"57595","Classical_monocytes","MoAM",69,0.527439024390244,0.209016393442623,0.209016393442623,"Classical_monocytes->MoAM/69","Apoe","Ldlr"
"57624","Classical_monocytes","Ciliated_cells",69,0.527439024390244,0.146788990825688,0.146788990825688,"Classical_monocytes->Ciliated_cells/69","Apoe","Ldlr"
"57798","Classical_monocytes","Fibroblasts",69,0.527439024390244,0.160714285714286,0.160714285714286,"Classical_monocytes->Fibroblasts/69","Apoe","Ldlr"
"57827","Classical_monocytes","Ccr7_DC",69,0.527439024390244,0.301204819277108,0.301204819277108,"Classical_monocytes->Ccr7_DC/69","Apoe","Ldlr"
"57885","Classical_monocytes","AT1",69,0.527439024390244,0.117647058823529,0.117647058823529,"Classical_monocytes->AT1/69","Apoe","Ldlr"
"57943","Classical_monocytes","Smooth_muscle_cells",69,0.527439024390244,0.130434782608696,0.130434782608696,"Classical_monocytes->Smooth_muscle_cells/69","Apoe","Ldlr"
"58447","Club_cells","MoAM",70,0.100529100529101,0.778688524590164,0.100529100529101,"Club_cells->MoAM/70","Apoe","Lrp1"
"58448","DC1","MoAM",70,0.132352941176471,0.778688524590164,0.132352941176471,"DC1->MoAM/70","Apoe","Lrp1"
"58452","AT2_Retnla","MoAM",70,0.539267015706806,0.778688524590164,0.539267015706806,"AT2_Retnla->MoAM/70","Apoe","Lrp1"
"58458","Ccr7_DC","MoAM",70,0.180722891566265,0.778688524590164,0.180722891566265,"Ccr7_DC->MoAM/70","Apoe","Lrp1"
"58461","Proliferating_DC","MoAM",70,0.125,0.778688524590164,0.125,"Proliferating_DC->MoAM/70","Apoe","Lrp1"
"58581","Classical_monocytes","pDC",70,0.527439024390244,0.104166666666667,0.104166666666667,"Classical_monocytes->pDC/70","Apoe","Lrp1"
"59335","Classical_monocytes","AT2_Retnla",71,0.527439024390244,0.727748691099476,0.527439024390244,"Classical_monocytes->AT2_Retnla/71","Apoe","Lrp2"
"60176","Classical_monocytes","AT2_Retnla",72,0.527439024390244,0.141361256544503,0.141361256544503,"Classical_monocytes->AT2_Retnla/72","Apoe","Lrp5"
"60408","Classical_monocytes","AT1",72,0.527439024390244,0.117647058823529,0.117647058823529,"Classical_monocytes->AT1/72","Apoe","Lrp5"
"60495","Classical_monocytes","Lymphatics",72,0.527439024390244,0.32,0.32,"Classical_monocytes->Lymphatics/72","Apoe","Lrp5"
"61800","Classical_monocytes","MoAM",74,0.527439024390244,0.10655737704918,0.10655737704918,"Classical_monocytes->MoAM/74","Apoe","Scarb1"
"62119","Classical_monocytes","Proliferating_DC",74,0.527439024390244,0.125,0.125,"Classical_monocytes->Proliferating_DC/74","Apoe","Scarb1"
"62815","Classical_monocytes","Tregs",75,0.527439024390244,0.151162790697674,0.151162790697674,"Classical_monocytes->Tregs/75","Apoe","Sorl1"
"62960","Classical_monocytes","Proliferating_DC",75,0.527439024390244,0.104166666666667,0.104166666666667,"Classical_monocytes->Proliferating_DC/75","Apoe","Sorl1"
"79235","Neutrophils","Neutrophils",95,1,0.120481927710843,0.120481927710843,"Neutrophils->Neutrophils/95","B2m","Cd3d"
"80888","Neutrophils","TRAM",97,1,0.126450116009281,0.126450116009281,"Neutrophils->TRAM/97","B2m","Hfe"
"80917","Neutrophils","Neutrophils",97,1,0.168674698795181,0.168674698795181,"Neutrophils->Neutrophils/97","B2m","Hfe"
"81149","Neutrophils","MoAM",97,1,0.184426229508197,0.184426229508197,"Neutrophils->MoAM/97","B2m","Hfe"
"81178","Neutrophils","Ciliated_cells",97,1,0.119266055045872,0.119266055045872,"Neutrophils->Ciliated_cells/97","B2m","Hfe"
"81207","Neutrophils","AT2_Retnla",97,1,0.115183246073298,0.115183246073298,"Neutrophils->AT2_Retnla/97","B2m","Hfe"
"81526","Neutrophils","Lymphatics",97,1,0.2,0.2,"Neutrophils->Lymphatics/97","B2m","Hfe"
"81758","Neutrophils","Neutrophils",98,1,0.102409638554217,0.102409638554217,"Neutrophils->Neutrophils/98","B2m","Klrd1"
"82367","Neutrophils","Lymphatics",98,1,0.12,0.12,"Neutrophils->Lymphatics/98","B2m","Klrd1"
"82860","Neutrophils","Ciliated_cells",99,1,0.110091743119266,0.110091743119266,"Neutrophils->Ciliated_cells/99","B2m","Tfrc"
"136772","IM","Proliferating_TRAM",163,1,0.2,0.2,"IM->Proliferating_TRAM/163","C1qa","Cd93"
"137033","IM","Lymphatics",163,1,0.28,0.28,"IM->Lymphatics/163","C1qa","Cd93"
"137062","IM","Mast_cells",163,1,0.333333333333333,0.333333333333333,"IM->Mast_cells/163","C1qa","Cd93"
"137410","IM","Club_cells",164,1,0.105820105820106,0.105820105820106,"IM->Club_cells/164","C1qa","Cr1l"
"137497","IM","MoAM",164,1,0.168032786885246,0.168032786885246,"IM->MoAM/164","C1qa","Cr1l"
"137555","IM","AT2_Retnla",164,1,0.120418848167539,0.120418848167539,"IM->AT2_Retnla/164","C1qa","Cr1l"
"137729","IM","Ccr7_DC",164,1,0.192771084337349,0.192771084337349,"IM->Ccr7_DC/164","C1qa","Cr1l"
"139176","Non-classical_monocytes","MoAM",166,0.140086206896552,0.778688524590164,0.140086206896552,"Non-classical_monocytes->MoAM/166","C1qb","Lrp1"
"139198","Smooth_muscle_cells","MoAM",166,0.130434782608696,0.778688524590164,0.130434782608696,"Smooth_muscle_cells->MoAM/166","C1qb","Lrp1"
"139324","IM","pDC",166,0.997282608695652,0.104166666666667,0.104166666666667,"IM->pDC/166","C1qb","Lrp1"
"144029","MoAM","IM",172,0.209016393442623,0.831521739130435,0.209016393442623,"MoAM->IM/172","C3","Cd81"
"144030","Ciliated_cells","IM",172,0.201834862385321,0.831521739130435,0.201834862385321,"Ciliated_cells->IM/172","C3","Cd81"
"144031","AT2_Retnla","IM",172,0.654450261780105,0.831521739130435,0.654450261780105,"AT2_Retnla->IM/172","C3","Cd81"
"144042","Lymphatics","IM",172,0.24,0.831521739130435,0.24,"Lymphatics->IM/172","C3","Cd81"
"144043","Mast_cells","IM",172,0.333333333333333,0.831521739130435,0.333333333333333,"Mast_cells->IM/172","C3","Cd81"
"147596","MoAM","MoAM",176,0.209016393442623,0.778688524590164,0.209016393442623,"MoAM->MoAM/176","C3","Lrp1"
"147597","Ciliated_cells","MoAM",176,0.201834862385321,0.778688524590164,0.201834862385321,"Ciliated_cells->MoAM/176","C3","Lrp1"
"147598","AT2_Retnla","MoAM",176,0.654450261780105,0.778688524590164,0.654450261780105,"AT2_Retnla->MoAM/176","C3","Lrp1"
"147609","Lymphatics","MoAM",176,0.24,0.778688524590164,0.24,"Lymphatics->MoAM/176","C3","Lrp1"
"147610","Mast_cells","MoAM",176,0.333333333333333,0.778688524590164,0.333333333333333,"Mast_cells->MoAM/176","C3","Lrp1"
"150725","Club_cells","Neutrophils",180,0.121693121693122,0.433734939759036,0.121693121693122,"Club_cells->Neutrophils/180","Hc","C5ar1"
"150728","MoAM","Neutrophils",180,0.110655737704918,0.433734939759036,0.110655737704918,"MoAM->Neutrophils/180","Hc","C5ar1"
"150729","Ciliated_cells","Neutrophils",180,0.100917431192661,0.433734939759036,0.100917431192661,"Ciliated_cells->Neutrophils/180","Hc","C5ar1"
"150738","AT1","Neutrophils",180,0.176470588235294,0.433734939759036,0.176470588235294,"AT1->Neutrophils/180","Hc","C5ar1"
